Action(SiteID=US|Country=US|Currency=USD|Version=585|CC=ISO-8859-1),OrderID,ItemID,TransactionID,ShippingStatus,ShippingCarrierUsed,ShipmentTrackingNumber
Status,,310267991815,666883690021,1,,
Status,,310909548358,666884925021,1,,
Status,,400148461431,535814909027,1,,
Status,207821105010,207821105010,,1,,
Status,207821830010,207821830010,,0,,
Status,,131593512367,1209494600003,1,,
Status,,311155906234,666894623021,0,,
Status,,311155906234,666894841021,1,,
Status,,140446139857,1250982760004,1,,
Status,,131739644119,1209499218003,1,,
Status,,311083324079,666898451021,1,,
Status,,381452469105,697727031025,1,,
Status,,310087279902,666900977021,1,,
Status,207823761010,207823761010,,0,,
Status,,130950393213,1209518051003,1,,
Status,,381444651435,697743964025,1,,
Status,,310818649077,666918594021,1,,
Status,,311325541428,666920204021,1,,
Status,,131467104731,1209534295003,0,,
Status,,400148456907,535849569027,1,,
Status,,381486651747,697752887025,1,,
Status,,310901655128,666928234021,1,,
Status,,380884947860,697762481025,1,,
Status,,311031556950,666945279021,1,,
Status,,310321874047,666946854021,0,,
Status,,311569208393,666955779021,1,,
Status,,310866959626,666959641021,1,,
Status,,140473888988,1251077662004,1,,
Status,,311155954233,666967135021,1,,
Status,,310087279251,666970727021,1,,
Status,,140437924758,1251096345004,1,,
Status,,311363595823,666976650021,1,,
Status,,131640542092,1209610154003,1,,
Status,,140446135958,1251103491004,1,,
Status,,310245540689,666979885021,1,,
Status,,131065343993,1209619405003,1,,
Status,,311222937355,666986398021,1,,
Status,,311524600912,666990200021,1,,
Status,,131230800230,1209627055003,1,,
Status,,381486651232,697822205025,1,,
Status,,400148909562,535919282027,1,,
Status,,120606396497,1614796871002,1,,
Status,,381474767318,697831925025,1,,
Status,,380789129897,697831310025,1,,
Status,,381086274251,697834842025,1,,
Status,,311413114490,667005731021,1,,
Status,,311464815737,667008864021,1,,
Status,,381095567059,697845778025,0,,
Status,,311524578551,667015651021,1,,
Status,,140446737939,1251160916004,1,,
Status,,311464817407,667020962021,1,,
Status,,381443975961,697854550025,1,,
Status,,131633529489,1209670496003,1,,
Status,,131095931476,1209675712003,1,,
Status,,381585438135,697870934025,1,,
Status,,131415499262,1209689227003,1,,
Status,,311217274414,667040809021,1,,
Status,,131720939641,1209702087003,1,,
Status,,400169764132,535970874027,1,,
Status,,310932459891,667048558021,1,,
Status,,131156430099,1209707446003,1,,
Status,,131615708527,1209709902003,1,,
Status,,381383810154,697892529025,1,,
Status,,380803584288,697894286025,1,,
Status,,131640540260,1209726514003,1,,
Status,,380932549576,697906239025,1,,
Status,,381569827733,697909708025,1,,
Status,,131723882866,1209734339003,1,,
Status,,380823334978,697912200025,0,,
Status,,311023672407,667075849021,1,,
Status,,131753403267,1209742122003,1,,
Status,,380963764751,697922062025,1,,
Status,207866519010,207866519010,,0,,
Status,,311007889543,667084378021,1,,
Status,,311437289187,667094350021,1,,
Status,,400148909820,536017020027,1,,
Status,,311520582066,667095778021,0,,
Status,,380803584590,697940100025,1,,
Status,,120559044169,1614966734002,1,,
Status,,310321871599,667100637021,0,,
Status,207871456010,207871456010,,1,,
Status,,131598998548,1209785065003,0,,
Status,,310997738580,667109834021,0,,
Status,,311023672183,667109871021,1,,
Status,,131717274290,1209792446003,1,,
Status,,400148916289,536035779027,1,,
Status,,140446146273,1251293630004,1,,
Status,,380963763097,697958217025,1,,
Status,,131575671177,1209794683003,1,,
Status,,381469467725,697958891025,1,,
Status,,131516642488,1209795392003,1,,
Status,,311520582066,667118497021,1,,
Status,,131103819669,1209799273003,0,,
Status,,131632307485,1209799542003,1,,
Status,,131754221790,1209799958003,1,,
Status,,311479552560,667122334021,1,,
Status,,310321865509,667126216021,1,,
Status,,380887922791,697973380025,1,,
Status,,131256603016,1209812570003,1,,
Status,,131133293706,1209814104003,1,,
Status,,381480890627,697978003025,1,,
Status,,381486628870,697979185025,1,,
Status,,311333298269,667140037021,1,,
Status,,311023673343,667145845021,1,,
Status,,131134151777,1209832095003,0,,
Status,,310393714659,667149058021,1,,
Status,,380815329156,697995006025,1,,
Status,,380886463500,697994983025,1,,
Status,,311431519672,667150653021,0,,
Status,,131707337875,1209838941003,1,,
Status,,140446748792,1251342411004,1,,
Status,,310321831168,667155031021,1,,
Status,,381486651492,698003982025,1,,
Status,,310917191505,667160837021,1,,
Status,,310221599017,667165050021,1,,
Status,,381471298250,698014250025,1,,
Status,,381458629208,698018911025,1,,
Status,,380851280868,698021178025,1,,
Status,,310245538854,667176176021,1,,
Status,,310796798788,667176343021,0,,
Status,,380542743534,698026784025,1,,
Status,,131754178858,1209880741003,0,,
Status,,140446135729,1251385221004,1,,
Status,207889055010,207889055010,,1,,
Status,,380789129636,698037893025,1,,
Status,,310918384790,667193547021,1,,
Status,,310250415821,667196750021,1,,
Status,,310269875754,667202687021,1,,
Status,,380805291684,698052527025,0,,
Status,,131656419433,1209912329003,1,,
Status,,381443986591,698055150025,1,,
Status,,311488800260,667209605021,1,,
Status,,131237941443,1209926356003,1,,
Status,,131656398836,1209928534003,1,,
Status,,400148912915,536129877027,1,,
Status,,380815329358,698066226025,1,,
Status,,310333610163,667222501021,1,,
Status,,131711963467,1209938513003,1,,
Status,,400148916289,536138314027,1,,
Status,,380887922820,698084156025,1,,
Status,,131088018008,1209953493003,1,,
Status,,131558229412,1209960495003,1,,
Status,,381437902233,698090790025,1,,
Status,,131140824804,1209962080003,1,,
Status,,311403866284,667243079021,1,,
Status,,311506361654,667243687021,1,,
Status,,131048123242,1209965756003,1,,
Status,,131144197766,1209973835003,1,,
Status,,310835626266,667250935021,1,,
Status,,310912143637,667252766021,1,,
Status,,311563411753,667258327021,1,,
Status,,381070148728,698110714025,1,,
Status,,381463720803,698113708025,1,,
Status,,381431000268,698115012025,1,,
Status,,310901607525,667269703021,1,,
Status,,381339576915,698122835025,1,,
Status,,130642485864,1210006652003,1,,
Status,,310918380647,667274399021,1,,
Status,,311566956747,667274455021,1,,
Status,207909953010,207909953010,,1,,
Status,,131713744105,1210018329003,1,,
Status,,380720739836,698135915025,1,,
Status,,310245539956,667289700021,1,,
Status,,140426119502,1251553429004,1,,
Status,,131753403388,1210038901003,1,,
Status,,140446143874,1251555978004,1,,
Status,,120801057906,1615303964002,1,,
Status,,381469467506,698154788025,1,,
Status,,310333592323,667305126021,1,,
Status,,311325546748,667305913021,1,,
Status,,131156424737,1210049945003,1,,
Status,,381039149302,698161930025,1,,
Status,,311222947358,667309372021,1,,
Status,,310796833998,667309544021,0,,
Status,,310814549464,667309779021,1,,
Status,,310321864996,667313435021,1,,
Status,,131593466099,1210061977003,0,,
Status,,381579243542,698170408025,1,,
Status,,131420876370,1210066395003,0,,
Status,,381100808824,698173082025,1,,
Status,,131713779967,1210073721003,0,,
Status,,311325541023,667325933021,1,,
Status,,131598998548,1210075562003,0,,
Status,,381393941341,698181471025,0,,
Status,,311436797552,667330033021,0,,
Status,,311539226684,667330690021,1,,
Status,,381345959124,698187974025,1,,
Status,,120801030210,1615372774002,1,,
Status,,380803584042,698197993025,0,,
Status,,131761580107,1210097298003,1,,
Status,,310796833998,667343179021,0,,
Status,,311189925953,667344131021,1,,
Status,,310245942617,667346195021,1,,
Status,,311363575150,667350099021,1,,
Status,,380789123464,698207886025,1,,
Status,,380895213985,698209107025,1,,
Status,,131724906989,1210111491003,1,,
Status,,130742358066,1210112112003,1,,
Status,,381383809823,698211814025,1,,
Status,,131621398429,1210114252003,1,,
Status,,381331605298,698217904025,1,,
Status,,311550238938,667360624021,1,,
Status,,131670546825,1210122130003,1,,
Status,,311155955877,667361074021,1,,
Status,,120310419993,1615409668002,1,,
Status,,131516642623,1210129317003,1,,
Status,,310748854790,667366657021,0,,
Status,,131656382054,1210130796003,1,,
Status,,311249091479,667367159021,1,,
Status,,131337088070,1210135549003,1,,
Status,,380721551301,698230480025,1,,
Status,,311436840950,667372949021,1,,
Status,,131237950600,1210141576003,1,,
Status,,131356498601,1210145333003,1,,
Status,,131575528783,1210147934003,1,,
Status,,131166898372,1210148749003,1,,
Status,,131516659391,1210151444003,1,,
Status,,131360419892,1210151541003,1,,
Status,,310245948371,667383816021,1,,
Status,,140446744522,1251683543004,1,,
Status,,381458629305,698249878025,1,,
Status,,310221296668,667392241021,1,,
Status,,380894538616,698255073025,1,,
Status,,311478267853,667394017021,1,,
Status,,311419502639,667395988021,1,,
Status,,131369261602,1210177083003,1,,
Status,,381464349788,698264445025,0,,
Status,,131178800549,1210188085003,1,,
Status,,131659555283,1210206174003,1,,
Status,,131622310708,1210206832003,0,,
Status,,120310420122,1615512011002,1,,
Status,,131065360340,1210215969003,1,,
Status,,131621179252,1210218755003,1,,
Status,,380884947978,698295549025,1,,
Status,,310245948215,667436865021,1,,
Status,,310729015981,667439130021,1,,
Status,,130679055165,1210232066003,1,,
Status,,131659554888,1210251153003,1,,
Status,,310833653142,667455769021,1,,
Status,,381345958651,698322678025,1,,
Status,,131481654506,1210264200003,1,,
Status,,310418528458,667464371021,1,,
Status,,381566251522,698333162025,1,,
Status,,131158757805,1210275639003,1,,
Status,,131168590675,1210282727003,1,,
Status,,131467107302,1210284399003,1,,
Status,,131644127217,1210284924003,1,,
Status,,310228804456,667481173021,1,,
Status,,140426118525,1251826731004,1,,
Status,,131091004602,1210295614003,1,,
Status,207949666010,207949666010,,1,,
Status,,311403872096,667490929021,1,,
Status,,131640543309,1210303826003,1,,
Status,,310924308043,667492868021,1,,
Status,,131600615165,1210313276003,1,,
Status,,311006139017,667505351021,1,,
Status,,311474800488,667510461021,1,,
Status,,131656395936,1210333805003,1,,
Status,,380834351198,698380056025,1,,
Status,,131633528384,1210336840003,1,,
Status,,131656419418,1210340671003,1,,
Status,,311403871793,667518889021,1,,
Status,,380701384715,698386457025,1,,
Status,,131598998548,1210344273003,0,,
Status,,311468956084,667524899021,1,,
Status,,311031554996,667529112021,1,,
Status,,311468959178,667530319021,1,,
Status,,131467104731,1210360031003,1,,
Status,,311477672752,667544392021,1,,
Status,,311539226700,667549987021,1,,
Status,,310838087568,667550931021,1,,
Status,,381530004320,698422114025,1,,
Status,,131645432125,1210385846003,1,,
Status,,131672988284,1210394764003,0,,
Status,,310245944238,667558844021,1,,
Status,,310939698518,667562792021,1,,
Status,,381039140168,698441503025,1,,
Status,,381086274024,698448393025,1,,
Status,,380767743978,698456331025,0,,
Status,,131392388042,1210429775003,1,,
Status,,131178800600,1210433642003,1,,
Status,,310688463364,667589182021,1,,
Status,,311520549796,667589956021,1,,
Status,,311023672338,667594921021,1,,
Status,,381452467506,698468587025,1,,
Status,,381475604370,698471213025,1,,
Status,,381205117827,698472328025,1,,
Status,,311488843257,667600209021,1,,
Status,,380963766815,698474961025,1,,
Status,,381452469400,698477083025,1,,
Status,,310221599060,667603582021,1,,
Status,,130973009327,1210456182003,1,,
Status,,131360419959,1210460619003,1,,
Status,,131731046612,1210462047003,1,,
Status,,381160751069,698484210025,1,,
Status,,381579243492,698486079025,1,,
Status,,130994976656,1210469079003,1,,
Status,,130642503382,1210476867003,1,,
Status,,381505302778,698498328025,1,,
Status,,131640541752,1210480275003,1,,
Status,,131671195379,1210480477003,1,,
